[2025-09-18 07:01:14] [INFO    ] discord.client: logging in using static token
[2025-09-18 07:01:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'TestDev', 'primary_guild': None, 'mfa_enabled': False, 'id': '1418064164047294494', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9468', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'c96937c5a7a6be72541a6e29ccba59e8', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1418065913554534483'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['tel-aviv', 'bucharest', 'dubai', 'warsaw', 'saudi-arabia'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1418064164047294494', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-t9s8",{"micros":112787,"calls":["id_created",{"micros":344,"calls":[]},"session_lookup_time",{"micros":261,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-91",{"micros":111805,"calls":["start_session",{"micros":84157,"calls":["discord-api-rpc-5568d74-zzlwt",{"micros":43608,"calls":["get_user",{"micros":5154},"get_guilds",{"micros":2219},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":494},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":28712},"apex_experiments",{"micros":2510},"user_activities",{"micros":6},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":59,"calls":[]},"presence_started",{"micros":18445,"calls":[]},"guilds_started",{"micros":70,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":8996,"calls":[]},"connect_finished",{"micros":9058,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-18 07:01:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 07:01:15] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c96937c5a7a6be72541a6e29ccba59e8).
[2025-09-18 07:01:15] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-18 07:01:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_id': '1418065914410045622', 'afk_channel_id': None, 'profile': None, 'emojis': [], 'public_updates_channel_id': None, 'discovery_splash': None, 'member_count': 2, 'vanity_url_code': None, 'hub_type': None, 'roles': [{'version': 1758163660383, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1418065913554534483', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758163691446, 'unicode_emoji': None, 'tags': {'bot_id': '1418064164047294494'}, 'position': 1, 'permissions': '563276639759424', 'name': 'TestDev', 'mentionable': False, 'managed': True, 'id': '1418066044454441104', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'activity_instances': [], 'channels': [{'version': 1758163660389, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1418065914410045620', 'flags': 0}, {'version': 1758163660392, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1418065914410045621', 'flags': 0}, {'version': 1758163660398, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418065914410045620', 'name': 'general', 'last_message_id': '1418066045025128519', 'id': '1418065914410045622', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1758163660404, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418065914410045621', 'name': 'General', 'last_message_id': None, 'id': '1418065914410045623', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'id': '1418065913554534483', 'soundboard_sounds': [], 'stage_instances': [], 'name': 'testbot', 'splash': None, 'presences': [], 'application_id': None, 'default_message_notifications': 0, 'embedded_activities': [], 'premium_subscription_count': 0, 'safety_alerts_channel_id': None, 'premium_features': None, 'threads': [], 'large': False, 'voice_states': [], 'max_stage_video_channel_users': 50, 'incidents_data': None, 'home_header': None, 'preferred_locale': 'en-US', 'description': None, 'explicit_content_filter': 0, 'moderator_reporting': None, 'nsfw': False, 'mfa_level': 0, 'system_channel_flags': 0, 'premium_progress_bar_enabled': False, 'inventory_settings': None, 'lazy': True, 'joined_at': '2025-09-18T02:48:11.459268+00:00', 'icon': None, 'unavailable': False, 'features': [], 'guild_scheduled_events': [], 'afk_timeout': 300, 'banner': None, 'application_command_counts': {}, 'rules_channel_id': None, 'owner_id': '1298356925381214301', 'members': [{'user': {'username': 'TestDev', 'public_flags': 0, 'primary_guild': None, 'id': '1418064164047294494', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9468', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1418066044454441104'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T02:48:11.459268+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_tier': 0, 'max_members': 25000000, 'nsfw_level': 0, 'stickers': [], 'owner_configured_content_level': 0, 'max_video_channel_users': 25, 'region': 'deprecated', 'version': 1758163660408, 'verification_level': 0, 'latest_onboarding_question_id': None}}
[2025-09-18 07:01:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 07:01:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'e52d817e39cb4509cc9f79ff36633c62', 'members': [{'user': {'username': 'zazagdev', 'public_flags': 0, 'primary_guild': None, 'id': '1298356925381214301', 'global_name': 'Zazagdev', 'display_name_styles': None, 'display_name': 'Zazagdev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T02:47:40.298000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'TestDev', 'public_flags': 0, 'primary_guild': None, 'id': '1418064164047294494', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9468', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1418066044454441104'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T02:48:11.459268+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1418065913554534483', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-18 07:01:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 07:01:16] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1418065913554534483.
[2025-09-18 07:01:17] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-18 07:01:17] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-18 07:01:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1298356925381214301', 'timestamp': 1758164374, 'member': {'user': {'username': 'zazagdev', 'public_flags': 0, 'primary_guild': None, 'id': '1298356925381214301', 'global_name': 'Zazagdev', 'display_name_styles': None, 'display_name': 'Zazagdev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T02:47:40.298000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1418065914410045622', 'guild_id': '1418065913554534483'}}
[2025-09-18 07:01:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 07:01:28] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-18 07:01:28] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-18 07:01:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-18 07:01:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-18 07:02:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-18 07:02:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
